                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.70434,                0.60903,                  1.136,                0.84932,                0.81813,                0.89253,                0.69262,                 0.9727,                0.73693,                 1.2516,             0.00068392,             0.00068392,             0.00068392
                     81,                0.71209,                0.60325,                 1.1338,                0.84745,                0.85676,                 0.8794,                0.68265,                0.96094,                0.74174,                 1.2371,             0.00067449,             0.00067449,             0.00067449
                     82,                0.71993,                0.61725,                 1.1456,                0.81628,                0.86594,                0.87257,                0.67977,                0.96976,                0.78409,                 1.2467,             0.00066506,             0.00066506,             0.00066506
                     83,                0.71864,                0.61627,                 1.1446,                0.81824,                0.85927,                0.86046,                0.67337,                0.96651,                0.77689,                 1.2399,             0.00065563,             0.00065563,             0.00065563
                     84,                0.72229,                0.61828,                 1.1472,                0.84695,                0.86183,                0.87394,                0.67756,                0.99375,                 0.7698,                 1.2677,             0.00064619,             0.00064619,             0.00064619
                     85,                0.71337,                0.61279,                 1.1419,                0.83462,                0.82418,                0.86079,                0.67856,                 0.9855,                0.79468,                 1.2517,             0.00063676,             0.00063676,             0.00063676
                     86,                0.71078,                0.60093,                 1.1437,                0.81708,                0.84943,                0.85795,                0.67074,                0.98493,                 0.7781,                 1.2476,             0.00062733,             0.00062733,             0.00062733
                     87,                0.71121,                0.61286,                 1.1422,                0.84142,                0.82722,                0.87048,                0.67022,                 0.9762,                0.77149,                 1.2496,              0.0006179,              0.0006179,              0.0006179
                     88,                0.69818,                 0.5897,                 1.1299,                0.84399,                0.84343,                0.87879,                0.67633,                 0.9869,                0.73353,                 1.2623,             0.00060847,             0.00060847,             0.00060847
                     89,                0.70396,                0.58992,                 1.1328,                0.79912,                0.86314,                0.86368,                0.67253,                0.98663,                 0.7676,                 1.2638,             0.00059904,             0.00059904,             0.00059904
                     90,                0.69912,                 0.5827,                 1.1342,                0.82037,                0.85819,                0.87663,                0.67523,                0.99844,                0.73373,                 1.2684,             0.00058961,             0.00058961,             0.00058961
                     91,                0.69833,                0.59203,                  1.139,                0.82498,                 0.8514,                0.86708,                0.67888,                0.99943,                0.76167,                 1.2734,             0.00058017,             0.00058017,             0.00058017
